Message,Likes,Comments
"Rammstein, Volbeat, Five fingers death Punch, Combichrist, Frei Wild, Hatebreed",1,0
"Sondaschule, feine sahnecfischfilet, in extremo, rammstein, system of a down, die rzte, metallica, me first and the gimmes gimmes",4,0
Megadeth,0,0
"GHOST, amon amarth, billy talent, lamb of god, airbourne, iron maiden, prophets of rage, Ghost,  avenged sevenfold, eagles of death metal, queens of the stone age, ensiferum, the flatliners, GHOST     , in extremo, metallica, red fang, russkaja, sum 41, the sorrow, trivium, system of a down",8,2
"Gojira, As I Lay Dying, Ye Banished Privateers",0,0
Streetlight Manifesto ,0,0
FEVER 333 ,0,0
"Dreamshade, End Of Silence, Annisokay, Cypecore, Beyond the Black, The Qemists",0,0
"Paolo nutini, sum41, blink182, hosen immer wieder gut",2,0
"Rammstein, Nightwish,  Disturbed ",0,0
Davidov Alcoholovic Will au niemer cho xD,0,0
In Extremo,5,0
"Die rzte, As I Lay Dying, SHVPES, In Flames, Sharks in Your Mouth, Dreamshade, Rise Against, Enter Shikari, Fit For a King, Of Virtue usw.",1,0
"Alter Bridge, Tenacoius D, Green Day, Airbourne, Billy Talent, Royal Blood.
Gebt doch auch vielen Jungen Schweizer Bands mal die chance sich zu beweisen  ",25,3
"avenged sevenfold, asking alexandria, trivium, nothing more, bury tomorrow, reel big fish, offspring, bullet for my valentine",2,0
"Mayhem, Abbath, Phil Anselmo and the illegals, Machine Head",3,0
The killers,2,0
"Norvhar, AM:PM, Anachronism, Rage Of Light, Nodafreth",4,3
Metalicaa. Iron maiden. Volbeat. Green Day. Nightwish. Offspring. Sabaton,0,0
"Burning Witches, Metallica , Disturbed",2,0
Moritz Zwerenz na so viel ich weiss gnd sie unter metal.. ,0,0
"Avenged sevenfold, amon amarth, inflames, stone sour, korn, system of a down, iced earth.",11,0
ensiferum,2,0
"Rammstein
Five Finger Death Punch
Rose Tattoo
In Extremo",47,4
Green day ,1,0
Tool,3,0
Samarra Morgan Pulveraffen hell yes,1,0
"ILLUMENIUM
Killer
Kilmister
Burning Witches
Broken Fate
Massive Ego
Iron Horses
Excelsis
Metalica
Bhse Onkelz
Frei.Wild
Toil
Maxxwell",4,2
Five Finger Death Punch,5,0
Beat Breit Oh nei  ,0,0
https:  www.youtube.com watch v=30SWtsUxNzk&list=PLl5fdaX3BLkCfmBlHM9RTZh8ANW_Vhu4q,0,0
"Rammstein, Onkelz, FFDP, Slayer",1,3
"die rzte, the black dahlia murder, rammstein, system of a down, vader, arkona, bloodbath, dark tranquillity, job for a cowboy, J.B.O., kreator, soilwork, thyrfing, trivium ^^",0,0
Heino ,1,0
The Interrupters,0,0
THE GHOST INSIDE,0,0
Sum 41 ..freiwild,4,0
"Godsmack, korn, meshuggah, heaven shell burn",0,0
Broilers SCHMUTZKI Metallica Rammstein bhse onkelz Five Finger death punch,0,0
Billy Talent ,1,0
THORN.,1,0
"Shaka pong, 
https:  youtu.be 00OK_Yf0-IE",1,0
"Comaniac, Angry Again, Contorsion, Mind Patrol, Irony of Fate, Hate Squad, Warpath, Overkill, Testament, Crisix  :D",10,7
Foo Fighters,0,0
Tchel,9,0
"Und natrlich frei.wild, five finger death punch usw... Ah ich chnt ufzelle... ",1,0
Daron malakian & scars on Broadway,0,0
System of a down,0,0
Die rzte,0,0
"Burry tommorow
For Today
Myka Relocate
Bless the Fall",10,1
"Metallica, rzte, Iron Maiden, System of a Down",1,0
"Rammstein,The ghost inside,hatebreed,attila",1,0
"Wage War, I Prevail, We Came As Romans, A Day To Remember, Billy Talent, Of Mice And Men, Ankor, Dream State",0,0
Ganz klar Rammstein,1,0
Choreography of the Dead,0,0
Anthrax,0,0
Rammstein,0,0
Greenday,0,0
RZTE   ,2,0
Ghost Inside,0,0
"Green Day, Volbeat, Billy Talent, Hank Von Hell, Ghost, Audrey Horne.... Vanessa Zimmermann hesch no anderi vorschlg",0,0
Sum41,2,0
"Bhse Onkelz, Metallica, Contorsion",0,0
"In Extremo, Die rzte, Metallica, Rammstein, Eisbrecher ",0,0
Blink 182,1,0
ILLUMENIUM,1,0
Billy Talent,0,0
Skillet,1,0
Dave Slaves und Alazka wren der hammer und I Prevail sowieso,0,0
Nervosa   Jinjer   Aether Realm   Nekrogoblikon  Alestorm,0,0
"Michel Menzi darum kommentiersch sus,hm
Janu d hesch dr dis niveau gat slbr gig",1,0
Mad Sox ,0,0
Und Imminence,0,0
"Rise Against,Green Day,Sum 41,Three Days Grace",7,0
"Gojira, Parkway Drive, Ghost",1,0
"Rammstein, madball, rage against the machine",1,0
Attila und we butter the bread with butter,10,0
KELLY FAMILIE  Yeahhhhhh,0,0
Rammstein & Foo fighters    ,0,0
"Onkelz, Rammstein, Eisbrecher",3,0
"Like a storm,
Escape the fate
Falling in reverse",1,0
"Our Last Night, State Champs, Bring Me The Horizon, Crown The Empire, Moose Blood, Beartooth, We Came As Romans, Rise Against ",1,0
Volbeat,1,0
"Bring me the Horizon
I Prevail
Foo Fighters
Die Antwoord
Parkway Drive
Skindread
Billy Talent
FFDP
Muse",2,0
"Korn, deftones, mass hysteria septik flesh",2,0
"Greenday, System of a Down, Avenged Sevenfold, Tenacious D, Ghostmane, Scarlxrd, Sum 41, Riot Ten,",3,6
"Chaoseum
https:  youtu.be xlgsW6of2CQ",2,0
Dimmu Borgir mit Orchester ,0,0
"Gojira, Machine Head  ",1,0
Iron maiden,0,0
Architects,3,0
"Ghost
In this moment
System of a down
Volbeat
Billy talent
The real mckenzies
...",1,1
Scott Stapp ,0,0
"Nine inch nails 
Karnivool
A perfect circle",10,0
Knppel,3,0
"In Extremo, Rammstein, Bhse Onkelz, Offspring, Slayer, Metallica",1,0
Rammstein und Ran-d,1,0
Rammstein ,0,0
Tenacious D,0,0
"Cradle of filth , rob zombie , rammstein , korn , devin townsend , dimmu borgir.",1,0
Silent Planet,1,0
Avenged sevenfold parkaway drive rzte,0,0
Lionheart,1,0
Furchenschweiss,7,0
Billy Talent ,1,0
Anthrax    Overkill  iced Earth schn wr's,0,0
"AGAINST ME 
PULLEY
LAGWAGON",0,0
"Brothers of Metal, Nigthwish, Powerwolf",0,0
Harakiri for the Sky,0,0
Korn,0,0
"Nofx
Rancid",0,0
"Heaven Shall Burn, Orbit Culture, Whitechapel,

Nice To Eat You (Besti Schwizer Core Band )

Equilibrium, Korn, Bury Tomorrow, JBO, Knorkator, Green Day, u viiiiu meh no ",2,0
