Comment Id,Date / Time,From Id,From,Message,Likes,Comments
10157361185413044_10157361190133044,2019-06-24 12:17:28,,,"Volbeat, Ensiferum, Iron Maiden, Corvus Corax, Harpyie, Mono Inc.🖤🤘🏻🤘🏻",5,1
10157361185413044_10157361190153044,2019-06-24 12:17:30,,,5fdp 😎🤘,1,0
10157361185413044_10157361190163044,2019-06-24 12:17:30,,,Die Kassierer 😂 Knorkator,3,0
10157361185413044_10157361190203044,2019-06-24 12:17:34,,,J.B.O,0,0
10157361185413044_10157361190248044,2019-06-24 12:17:36,,,Our Last Night/ Rammstein,1,0
10157361185413044_10157361190338044,2019-06-24 12:17:37,,,Slipknot / 5 Finger Death Punch / Volbeat / Broilers / Saltatio Mortis / in Extremo / Avenged Sevenfold,2,0
10157361185413044_10157361190413044,2019-06-24 12:17:40,,,Freezes Deyna Unified Move🙌🏼,3,0
10157361185413044_10157361190743044,2019-06-24 12:17:51,,,Green Day,0,0
10157361185413044_10157361190798044,2019-06-24 12:17:54,,,System of a down,1,0
10157361185413044_10157361190978044,2019-06-24 12:18:01,,,"Rammstein, Bring me the Horizon, sum 41, Greenday, ärzte",0,0
10157361185413044_10157361191088044,2019-06-24 12:18:04,,,Ronnie Schlegel  das ganze Zeckefestival ja 😂😂👌🏻,0,0
10157361185413044_10157361191288044,2019-06-24 12:18:10,,,Social Distortion!!!,0,0
10157361185413044_10157361191363044,2019-06-24 12:18:14,,,"Ärzte, Rammstein, metallica",47,0
10157361185413044_10157361191403044,2019-06-24 12:18:15,,,Joan Jett and the Blackhearts,2,0
10157361185413044_10157361191408044,2019-06-24 12:18:15,,,"Slipknot, Amon Amarth, Nightwish, Ensiferum",0,0
10157361185413044_10157361191423044,2019-06-24 12:18:15,,,Stephan Roth,0,0
10157361185413044_10157361191508044,2019-06-24 12:18:18,,,"Korn, Flogging Molly, Avenged Sevenfold",3,1
10157361185413044_10157361191528044,2019-06-24 12:18:19,,,Sabrina Wanner Breaking Benjamin war geil. Ist das aber nicht Punk?,0,0
10157361185413044_10157361191633044,2019-06-24 12:18:24,,,"Halt die selben wie jedes Jahr, was anderes ist eh nicht zu erwarten.",2,1
10157361185413044_10157361191663044,2019-06-24 12:18:26,,,Foo Fighters,1,0
10157361185413044_10157361191703044,2019-06-24 12:18:27,,,"Rammstein, vision of atlantis, kamelott, epica, nightwish, xandria",0,0
10157361185413044_10157361191748044,2019-06-24 12:18:29,,,"In extremo,iron maiden, rammstein, ale storm,eluveitie",2,0
10157361185413044_10157361191753044,2019-06-24 12:18:29,,,Muse,1,0
